disposizioni_elaborate,rime
865072,205
1730144,369
2595216,526
3460288,676
4325360,790
5190432,915
6055504,1029
6920576,1139
7785648,1240
8650720,1347
9515792,1449
10380864,1537
11245936,1621
12111008,1721
12976080,1821
13841152,1920
14706224,2023
15571296,2113
16436368,2199
17301440,2276
18166512,2347
19031584,2425
19896656,2491
20761728,2558
21626800,2622
22491872,2698
23356944,2762
24222016,2824
25087088,2891
25952160,2940
26817232,3007
27682304,3065
28547376,3122
29412448,3191
30277520,3257
31142592,3309
32007664,3360
32872736,3408
33737808,3465
34602880,3523
35467952,3575
36333024,3623
37198096,3682
38063168,3734
38928240,3807
39793312,3870
40658384,3929
41523456,3980
42388528,4024
43253600,4081
44118672,4130
44983744,4183
45848816,4231
46713888,4279
47578960,4340
48444032,4399
49309104,4454
50174176,4509
51039248,4549
51904320,4590
52769392,4644
53634464,4691
54499536,4734
55364608,4777
56229680,4826
57094752,4873
57959824,4919
58824896,4970
59689968,5012
60555040,5050
61420112,5080
62285184,5121
63150256,5156
64015328,5196
64880400,5243
65745472,5283
66610544,5323
67475616,5356
68340688,5397
69205760,5440
70070832,5482
70935904,5517
71800976,5557
72666048,5596
73531120,5629
74396192,5672
75261264,5698
76126336,5731
76991408,5764
77856480,5796
78721552,5824
79586624,5863
80451696,5896
81316768,5921
82181840,5946
83046912,5984
83911984,6011
84777056,6042
85642128,6066
86507200,6091
